,G,Date,Start (ET),Venue,Opponent,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
65,20,2023-12-02,8:00p,Home,Atlanta Hawks,132,121,14,6,W 1,W,53,89,14,33,0.424,12,15,0.8,8,44,33,5,6,15,19,2024,Milwaukee Bucks
66,21,2023-12-05,7:30p,Home,New York Knicks,146,122,15,6,W 2,W,55,91,23,38,0.605,13,19,0.684,12,37,32,12,6,12,23,2024,Milwaukee Bucks
67,22,2023-12-07,5:00p,Home,Indiana Pacers,119,128,15,7,L 1,L,43,96,12,33,0.364,21,28,0.75,12,46,19,3,9,12,17,2024,Milwaukee Bucks
68,23,2023-12-11,8:00p,Home,Chicago Bulls,133,129,16,7,W 1,W,44,86,15,37,0.405,30,37,0.811,6,48,34,5,4,11,21,2024,Milwaukee Bucks
69,24,2023-12-13,8:00p,Home,Indiana Pacers,140,126,17,7,W 2,W,48,89,7,27,0.259,37,48,0.771,12,43,27,8,8,15,24,2024,Milwaukee Bucks
70,25,2023-12-16,6:00p,Home,Detroit Pistons,146,114,18,7,W 3,W,50,88,19,42,0.452,27,32,0.844,8,49,24,5,8,14,24,2024,Milwaukee Bucks
71,26,2023-12-17,7:00p,Home,Houston Rockets,128,119,19,7,W 4,W,45,90,13,36,0.361,25,32,0.781,16,46,25,4,1,15,23,2024,Milwaukee Bucks
72,27,2023-12-19,8:00p,Home,San Antonio Spurs,132,119,20,7,W 5,W,50,106,18,49,0.367,14,18,0.778,11,47,34,11,7,6,15,2024,Milwaukee Bucks
73,28,2023-12-21,8:00p,Home,Orlando Magic,118,114,21,7,W 6,W,38,90,11,37,0.297,31,35,0.886,10,51,26,3,6,13,22,2024,Milwaukee Bucks
74,29,2023-12-23,12:30p,Away,New York Knicks,130,111,22,7,W 7,W,48,91,16,32,0.5,18,23,0.783,12,53,25,4,2,14,22,2024,Milwaukee Bucks
75,30,2023-12-25,12:00p,Away,New York Knicks,122,129,22,8,L 1,L,45,95,13,42,0.31,19,24,0.792,17,44,26,7,4,11,23,2024,Milwaukee Bucks
76,31,2023-12-27,7:30p,Away,Brooklyn Nets,144,122,23,8,W 1,W,52,89,23,51,0.451,17,23,0.739,8,41,41,6,8,10,18,2024,Milwaukee Bucks
77,32,2023-12-29,7:30p,Away,Cleveland Cavaliers,119,111,24,8,W 2,W,41,80,12,29,0.414,25,28,0.893,7,43,26,5,6,17,15,2024,Milwaukee Bucks
78,33,2024-01-01,8:00p,Home,Indiana Pacers,113,122,24,9,L 1,L,41,93,10,40,0.25,21,26,0.808,8,46,27,4,8,11,26,2024,Milwaukee Bucks
