,G,Date,Start (ET),Venue,Opponent,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
3134,45,2023-01-18,10:30p,Home,Sacramento Kings,111,116,20,25,L 1,L,43,89,11,34,0.324,14,18,0.778,6,36,26,9,3,6,20,2023,Los Angeles Lakers
3135,46,2023-01-20,10:00p,Home,Memphis Grizzlies,122,121,21,25,W 1,W,38,93,13,41,0.317,33,41,0.805,10,47,24,7,7,9,26,2023,Los Angeles Lakers
3136,47,2023-01-22,9:00p,Away,Portland Trail Blazers,121,112,22,25,W 2,W,45,86,10,30,0.333,21,27,0.778,10,51,23,5,5,12,19,2023,Los Angeles Lakers
3137,48,2023-01-24,10:00p,Home,Los Angeles Clippers,115,133,22,26,L 1,L,42,95,16,40,0.4,15,24,0.625,9,32,21,8,4,6,13,2023,Los Angeles Lakers
3138,49,2023-01-25,10:30p,Home,San Antonio Spurs,113,104,23,26,W 1,W,40,90,10,33,0.303,23,30,0.767,11,56,25,12,9,19,13,2023,Los Angeles Lakers
3139,50,2023-01-28,8:30p,Away,Boston Celtics,121,125,23,27,L 1,L,47,105,12,42,0.286,15,20,0.75,11,47,30,4,0,12,23,2023,Los Angeles Lakers
3140,51,2023-01-30,7:30p,Away,Brooklyn Nets,104,121,23,28,L 2,L,35,89,11,29,0.379,23,37,0.622,16,53,24,1,3,14,16,2023,Los Angeles Lakers
3141,52,2023-01-31,7:30p,Away,New York Knicks,129,123,24,28,W 1,W,48,93,11,33,0.333,22,31,0.71,11,44,29,6,1,14,23,2023,Los Angeles Lakers
3142,53,2023-02-02,7:00p,Away,Indiana Pacers,112,111,25,28,W 2,W,42,92,6,22,0.273,22,31,0.71,13,51,29,8,5,13,10,2023,Los Angeles Lakers
3143,54,2023-02-04,6:00p,Away,New Orleans Pelicans,126,131,25,29,L 1,L,45,94,11,32,0.344,25,33,0.758,13,44,30,4,3,9,20,2023,Los Angeles Lakers
3144,55,2023-02-07,10:00p,Home,Oklahoma City Thunder,130,133,25,30,L 2,L,49,85,14,31,0.452,18,26,0.692,6,41,27,8,3,20,19,2023,Los Angeles Lakers
3145,56,2023-02-09,10:00p,Home,Milwaukee Bucks,106,115,25,31,L 3,L,42,89,7,18,0.389,15,21,0.714,11,43,23,2,2,12,19,2023,Los Angeles Lakers
3146,57,2023-02-11,8:30p,Away,Golden State Warriors,109,103,26,31,W 1,W,40,89,8,25,0.32,21,26,0.808,10,52,19,4,4,15,12,2023,Los Angeles Lakers
3147,58,2023-02-13,10:00p,Away,Portland Trail Blazers,115,127,26,32,L 1,L,42,95,12,37,0.324,19,21,0.905,14,56,24,6,5,13,16,2023,Los Angeles Lakers
3148,59,2023-02-15,10:00p,Home,New Orleans Pelicans,120,102,27,32,W 1,W,44,83,10,37,0.27,22,36,0.611,6,43,32,5,8,10,23,2023,Los Angeles Lakers
3149,60,2023-02-23,10:00p,Home,Golden State Warriors,124,111,28,32,W 2,W,42,86,16,30,0.533,24,34,0.706,10,58,30,8,3,14,20,2023,Los Angeles Lakers
3150,61,2023-02-26,3:30p,Away,Dallas Mavericks,111,108,29,32,W 3,W,42,97,6,34,0.176,21,28,0.75,17,56,25,9,4,10,17,2023,Los Angeles Lakers
3151,62,2023-02-28,7:30p,Away,Memphis Grizzlies,109,121,29,33,L 1,L,38,86,13,34,0.382,20,23,0.87,14,56,22,5,10,26,19,2023,Los Angeles Lakers
3152,63,2023-03-01,8:00p,Away,Oklahoma City Thunder,123,117,30,33,W 1,W,38,80,16,35,0.457,31,39,0.795,10,41,22,8,8,13,19,2023,Los Angeles Lakers
3153,64,2023-03-03,10:30p,Home,Minnesota Timberwolves,102,110,30,34,L 1,L,36,87,10,31,0.323,20,24,0.833,11,41,23,8,2,15,19,2023,Los Angeles Lakers
3154,65,2023-03-05,3:30p,Home,Golden State Warriors,113,105,31,34,W 1,W,42,95,11,33,0.333,18,22,0.818,10,46,29,3,3,7,17,2023,Los Angeles Lakers
3155,66,2023-03-07,10:00p,Home,Memphis Grizzlies,112,103,32,34,W 2,W,41,90,7,28,0.25,23,29,0.793,7,57,27,4,2,13,18,2023,Los Angeles Lakers
3156,67,2023-03-10,10:30p,Home,Toronto Raptors,122,112,33,34,W 3,W,45,80,13,30,0.433,19,19,1,5,35,28,8,8,20,10,2023,Los Angeles Lakers
3157,68,2023-03-12,9:00p,Home,New York Knicks,108,112,33,35,L 1,L,43,89,12,36,0.333,10,17,0.588,10,37,24,6,2,11,17,2023,Los Angeles Lakers
3158,69,2023-03-14,8:00p,Away,New Orleans Pelicans,123,108,34,35,W 1,W,40,82,18,39,0.462,25,28,0.893,15,52,24,8,2,17,16,2023,Los Angeles Lakers
3159,70,2023-03-15,8:00p,Away,Houston Rockets,110,114,34,36,L 1,L,34,90,11,44,0.25,31,37,0.838,11,36,21,7,3,8,17,2023,Los Angeles Lakers
3160,71,2023-03-17,10:30p,Home,Dallas Mavericks,110,111,34,37,L 2,L,43,84,5,20,0.25,19,31,0.613,13,42,23,8,3,12,18,2023,Los Angeles Lakers
3161,72,2023-03-19,9:30p,Home,Orlando Magic,111,105,35,37,W 1,W,36,78,13,32,0.406,26,32,0.813,9,52,25,2,9,15,19,2023,Los Angeles Lakers
3162,73,2023-03-22,10:00p,Home,Phoenix Suns,122,111,36,37,W 2,W,39,70,8,17,0.471,36,46,0.783,5,36,27,7,2,13,20,2023,Los Angeles Lakers
3163,74,2023-03-24,10:30p,Home,Oklahoma City Thunder,116,111,37,37,W 3,W,42,91,12,34,0.353,20,28,0.714,16,53,20,9,4,11,14,2023,Los Angeles Lakers
3164,75,2023-03-26,3:30p,Home,Chicago Bulls,108,118,37,38,L 1,L,38,75,13,36,0.361,19,28,0.679,8,38,24,5,4,18,18,2023,Los Angeles Lakers
3165,76,2023-03-29,8:00p,Away,Chicago Bulls,121,110,38,38,W 1,W,45,86,7,20,0.35,24,30,0.8,13,45,22,10,3,15,14,2023,Los Angeles Lakers
3166,77,2023-03-31,8:00p,Away,Minnesota Timberwolves,123,111,39,38,W 2,W,45,90,9,22,0.409,24,30,0.8,15,53,28,10,5,16,17,2023,Los Angeles Lakers
3167,78,2023-04-02,7:00p,Away,Houston Rockets,134,109,40,38,W 3,W,52,93,9,30,0.3,21,28,0.75,11,51,36,4,8,5,9,2023,Los Angeles Lakers
3168,79,2023-04-04,9:00p,Away,Utah Jazz,135,133,41,38,W 4,W,48,96,12,34,0.353,27,35,0.771,11,44,27,6,7,11,21,2023,Los Angeles Lakers
3169,80,2023-04-05,10:00p,Away,Los Angeles Clippers,118,125,41,39,L 1,L,45,89,12,29,0.414,16,24,0.667,10,44,27,4,3,14,17,2023,Los Angeles Lakers
3170,81,2023-04-07,10:30p,Home,Phoenix Suns,121,107,42,39,W 1,W,45,92,18,36,0.5,13,17,0.765,10,54,25,6,6,15,12,2023,Los Angeles Lakers
3171,82,2023-04-09,3:30p,Home,Utah Jazz,128,117,43,39,W 2,W,47,97,18,45,0.4,16,21,0.762,10,49,28,4,7,10,9,2023,Los Angeles Lakers
3172,1,2022-10-19,8:00p,Home,Oklahoma City Thunder,115,108,1,0,W 1,W,39,94,10,38,0.263,27,33,0.818,14,55,25,6,5,14,21,2023,Minnesota Timberwolves
3173,2,2022-10-21,8:00p,Home,Utah Jazz,126,132,1,1,L 1,L,49,107,11,33,0.333,17,23,0.739,21,60,20,5,7,20,22,2023,Minnesota Timberwolves
3174,3,2022-10-23,8:00p,Away,Oklahoma City Thunder,116,106,2,1,W 1,W,46,88,10,34,0.294,14,22,0.636,12,54,24,9,3,15,17,2023,Minnesota Timberwolves
3175,4,2022-10-24,8:00p,Home,San Antonio Spurs,106,115,2,2,L 1,L,38,86,8,31,0.258,22,24,0.917,10,50,24,7,5,16,18,2023,Minnesota Timberwolves
3176,5,2022-10-26,8:00p,Home,San Antonio Spurs,134,122,3,2,W 1,W,52,80,20,34,0.588,10,16,0.625,0,30,37,9,6,16,19,2023,Minnesota Timberwolves
3177,6,2022-10-28,8:00p,Home,Los Angeles Lakers,111,102,4,2,W 2,W,41,99,13,40,0.325,16,24,0.667,14,49,27,13,8,10,21,2023,Minnesota Timberwolves
3178,7,2022-10-30,7:00p,Away,San Antonio Spurs,98,107,4,3,L 1,L,40,99,4,29,0.138,14,20,0.7,16,45,21,11,7,11,23,2023,Minnesota Timberwolves
3179,8,2022-11-01,10:00p,Away,Phoenix Suns,107,116,4,4,L 2,L,37,87,13,34,0.382,20,24,0.833,10,42,24,5,4,16,24,2023,Minnesota Timberwolves
3180,9,2022-11-04,10:00p,Home,Milwaukee Bucks,102,115,4,5,L 3,L,39,92,11,41,0.268,13,17,0.765,10,47,22,2,4,16,25,2023,Minnesota Timberwolves
3181,10,2022-11-05,8:00p,Home,Houston Rockets,129,117,5,5,W 1,W,49,80,15,33,0.455,16,20,0.8,9,36,38,11,5,24,27,2023,Minnesota Timberwolves
3182,11,2022-11-07,9:15p,Home,New York Knicks,107,120,5,6,L 1,L,38,81,11,41,0.268,20,24,0.833,4,39,28,7,8,17,18,2023,Minnesota Timberwolves
3183,12,2022-11-09,8:00p,Home,Phoenix Suns,117,129,5,7,L 2,L,41,78,9,27,0.333,26,32,0.813,8,38,26,4,6,19,22,2023,Minnesota Timberwolves
3184,13,2022-11-11,9:30p,Away,Memphis Grizzlies,103,114,5,8,L 3,L,37,79,10,30,0.333,19,22,0.864,7,33,29,10,4,14,25,2023,Minnesota Timberwolves
3185,14,2022-11-13,6:00p,Away,Cleveland Cavaliers,129,124,6,8,W 1,W,46,82,12,24,0.5,25,34,0.735,11,47,30,5,4,13,30,2023,Minnesota Timberwolves
3186,15,2022-11-16,7:00p,Away,Orlando Magic,126,108,7,8,W 2,W,46,88,12,36,0.333,22,28,0.786,8,40,28,15,6,10,15,2023,Minnesota Timberwolves
3187,16,2022-11-19,7:30p,Away,Philadelphia 76ers,112,109,8,8,W 3,W,40,85,12,36,0.333,20,24,0.833,8,43,28,9,2,17,25,2023,Minnesota Timberwolves
3188,17,2022-11-21,8:00p,Home,Miami Heat,105,101,9,8,W 4,W,37,85,14,47,0.298,17,20,0.85,6,40,30,9,6,18,25,2023,Minnesota Timberwolves
3189,18,2022-11-23,7:00p,Away,Indiana Pacers,115,101,10,8,W 5,W,47,77,8,22,0.364,13,17,0.765,8,50,31,9,10,23,18,2023,Minnesota Timberwolves
3190,19,2022-11-25,5:00p,Away,Charlotte Hornets,108,110,10,9,L 1,L,41,96,9,41,0.22,17,18,0.944,11,45,24,7,9,16,27,2023,Minnesota Timberwolves
3191,20,2022-11-27,3:30p,Home,Golden State Warriors,114,137,10,10,L 2,L,39,88,14,35,0.4,22,29,0.759,6,31,22,7,2,14,19,2023,Minnesota Timberwolves
3192,21,2022-11-28,7:00p,Away,Washington Wizards,127,142,10,11,L 3,L,42,84,7,27,0.259,36,42,0.857,15,45,20,4,3,18,23,2023,Minnesota Timberwolves
3193,22,2022-11-30,8:00p,Home,Memphis Grizzlies,109,101,11,11,W 1,W,41,89,12,39,0.308,15,19,0.789,5,29,26,13,11,12,25,2023,Minnesota Timberwolves
3194,23,2022-12-03,8:00p,Home,Oklahoma City Thunder,128,135,11,12,L 1,L,47,89,10,30,0.333,24,30,0.8,12,44,25,13,10,23,23,2023,Minnesota Timberwolves
3195,24,2022-12-07,8:00p,Home,Indiana Pacers,121,115,12,12,W 1,W,44,93,8,23,0.348,25,27,0.926,16,51,25,15,2,21,21,2023,Minnesota Timberwolves
3196,25,2022-12-09,9:00p,Away,Utah Jazz,118,108,13,12,W 2,W,42,79,14,35,0.4,20,26,0.769,6,44,30,7,3,17,21,2023,Minnesota Timberwolves
3197,26,2022-12-10,10:00p,Away,Portland Trail Blazers,118,124,13,13,L 1,L,45,83,10,23,0.435,18,24,0.75,4,28,22,11,4,13,21,2023,Minnesota Timberwolves
3198,27,2022-12-12,10:00p,Away,Portland Trail Blazers,112,133,13,14,L 2,L,46,93,10,27,0.37,10,19,0.526,7,37,25,12,2,10,19,2023,Minnesota Timberwolves
3199,28,2022-12-14,10:00p,Away,Los Angeles Clippers,88,99,13,15,L 3,L,31,74,4,22,0.182,22,30,0.733,7,43,15,9,4,17,20,2023,Minnesota Timberwolves
3200,29,2022-12-16,8:00p,Away,Oklahoma City Thunder,112,110,14,15,W 1,W,43,87,12,25,0.48,14,25,0.56,11,43,23,16,6,16,18,2023,Minnesota Timberwolves
3201,30,2022-12-18,7:00p,Home,Chicago Bulls,150,126,15,15,W 2,W,57,87,23,43,0.535,13,16,0.813,4,39,38,5,5,12,21,2023,Minnesota Timberwolves
3202,31,2022-12-19,8:00p,Home,Dallas Mavericks,116,106,16,15,W 3,W,42,89,12,31,0.387,20,24,0.833,9,44,19,5,4,10,24,2023,Minnesota Timberwolves
3203,32,2022-12-21,8:00p,Home,Dallas Mavericks,99,104,16,16,L 1,L,42,85,8,30,0.267,7,10,0.7,8,39,23,7,4,13,24,2023,Minnesota Timberwolves
3204,33,2022-12-23,7:30p,Away,Boston Celtics,109,121,16,17,L 2,L,44,91,10,32,0.313,11,15,0.733,11,45,25,3,8,16,18,2023,Minnesota Timberwolves
3205,34,2022-12-26,7:30p,Away,Miami Heat,110,113,16,18,L 3,L,43,79,15,34,0.441,9,14,0.643,8,44,31,4,3,22,14,2023,Minnesota Timberwolves
3206,35,2022-12-28,8:00p,Away,New Orleans Pelicans,118,119,16,19,L 4,L,42,83,10,29,0.345,24,32,0.75,5,35,18,6,8,11,28,2023,Minnesota Timberwolves
3207,36,2022-12-30,8:00p,Away,Milwaukee Bucks,114,123,16,20,L 5,L,40,92,8,30,0.267,26,34,0.765,7,36,18,10,5,8,28,2023,Minnesota Timberwolves
3208,37,2022-12-31,8:00p,Home,Detroit Pistons,104,116,16,21,L 6,L,36,83,10,34,0.294,22,26,0.846,9,39,17,6,5,15,22,2023,Minnesota Timberwolves
3209,38,2023-01-02,8:00p,Home,Denver Nuggets,124,111,17,21,W 1,W,45,87,13,36,0.361,21,27,0.778,11,41,29,7,4,11,22,2023,Minnesota Timberwolves
3210,39,2023-01-04,8:00p,Home,Portland Trail Blazers,113,106,18,21,W 2,W,39,76,9,24,0.375,26,36,0.722,8,33,25,8,6,14,30,2023,Minnesota Timberwolves
3211,40,2023-01-06,9:00p,Home,Los Angeles Clippers,128,115,19,21,W 3,W,46,81,13,35,0.371,23,29,0.793,10,45,28,4,7,19,22,2023,Minnesota Timberwolves
3212,41,2023-01-08,7:00p,Away,Houston Rockets,104,96,20,21,W 4,W,38,80,10,28,0.357,18,22,0.818,9,44,23,8,4,17,18,2023,Minnesota Timberwolves
3213,42,2023-01-11,7:00p,Away,Detroit Pistons,118,135,20,22,L 1,L,43,88,16,33,0.485,16,21,0.762,13,36,22,7,2,18,22,2023,Minnesota Timberwolves
3214,43,2023-01-13,8:00p,Home,Phoenix Suns,121,116,21,22,W 1,W,47,90,10,28,0.357,17,20,0.85,4,37,24,13,3,14,22,2023,Minnesota Timberwolves
3215,44,2023-01-14,8:00p,Home,Cleveland Cavaliers,110,102,22,22,W 2,W,45,80,9,28,0.321,11,15,0.733,4,31,22,10,5,13,21,2023,Minnesota Timberwolves
3216,45,2023-01-16,4:00p,Home,Utah Jazz,125,126,22,23,L 1,L,46,101,18,41,0.439,15,18,0.833,16,41,28,9,6,5,20,2023,Minnesota Timberwolves
3217,46,2023-01-18,10:00p,Away,Denver Nuggets,118,122,22,24,L 2,L,42,81,12,32,0.375,22,28,0.786,12,36,26,6,10,17,27,2023,Minnesota Timberwolves
3218,47,2023-01-19,8:00p,Home,Toronto Raptors,128,126,23,24,W 1,W,45,89,17,40,0.425,21,23,0.913,8,37,31,12,5,15,20,2023,Minnesota Timberwolves
3219,48,2023-01-21,8:00p,Home,Houston Rockets,113,104,24,24,W 2,W,38,83,17,41,0.415,20,24,0.833,3,30,20,12,9,11,26,2023,Minnesota Timberwolves
3220,49,2023-01-23,8:00p,Away,Houston Rockets,114,119,24,25,L 1,L,41,91,16,42,0.381,16,22,0.727,12,41,19,8,7,19,22,2023,Minnesota Timberwolves
3221,50,2023-01-25,8:00p,Away,New Orleans Pelicans,111,102,25,25,W 1,W,40,82,11,29,0.379,20,28,0.714,4,36,23,8,5,9,18,2023,Minnesota Timberwolves
3222,51,2023-01-27,7:30p,Home,Memphis Grizzlies,111,100,26,25,W 2,W,44,86,13,35,0.371,10,15,0.667,9,45,31,12,6,19,19,2023,Minnesota Timberwolves
3223,52,2023-01-28,8:00p,Home,Sacramento Kings,117,110,27,25,W 3,W,42,80,17,37,0.459,16,21,0.762,9,44,25,5,2,19,26,2023,Minnesota Timberwolves
3224,53,2023-01-30,8:00p,Home,Sacramento Kings,111,118,27,26,L 1,L,43,92,12,39,0.308,13,25,0.52,8,49,26,7,3,18,16,2023,Minnesota Timberwolves
3225,54,2023-02-01,8:00p,Home,Golden State Warriors,119,114,28,26,W 1,W,46,106,14,50,0.28,13,24,0.542,10,53,26,5,7,11,23,2023,Minnesota Timberwolves
3226,55,2023-02-03,8:00p,Home,Orlando Magic,120,127,28,27,L 1,L,40,87,16,44,0.364,24,28,0.857,12,41,21,7,7,20,27,2023,Minnesota Timberwolves
3227,56,2023-02-05,7:00p,Home,Denver Nuggets,128,98,29,27,W 1,W,48,87,10,27,0.37,22,30,0.733,5,34,33,7,3,11,23,2023,Minnesota Timberwolves
3228,57,2023-02-07,9:00p,Away,Denver Nuggets,112,146,29,28,L 1,L,40,85,10,35,0.286,22,26,0.846,8,36,24,6,7,17,16,2023,Minnesota Timberwolves
3229,58,2023-02-08,9:00p,Away,Utah Jazz,143,118,30,28,W 1,W,56,98,23,43,0.535,8,8,1,8,47,35,6,6,10,19,2023,Minnesota Timberwolves
3230,59,2023-02-10,8:00p,Away,Memphis Grizzlies,107,128,30,29,L 1,L,41,88,15,37,0.405,10,12,0.833,7,35,25,7,4,17,20,2023,Minnesota Timberwolves
3231,60,2023-02-13,8:30p,Away,Dallas Mavericks,124,121,31,29,W 1,W,48,83,9,29,0.31,19,26,0.731,10,39,28,8,2,12,26,2023,Minnesota Timberwolves
3232,61,2023-02-16,8:00p,Home,Washington Wizards,106,114,31,30,L 1,L,39,95,8,29,0.276,20,22,0.909,16,53,21,8,5,18,16,2023,Minnesota Timberwolves
3233,62,2023-02-24,8:00p,Home,Charlotte Hornets,113,121,31,31,L 2,L,46,93,11,33,0.333,10,16,0.625,7,45,25,6,11,15,20,2023,Minnesota Timberwolves
3234,63,2023-02-26,7:30p,Away,Golden State Warriors,104,109,31,32,L 3,L,38,90,17,45,0.378,11,21,0.524,10,43,26,11,8,16,18,2023,Minnesota Timberwolves
3235,64,2023-02-28,10:00p,Away,Los Angeles Clippers,108,101,32,32,W 1,W,43,90,9,26,0.346,13,22,0.591,10,46,22,14,8,17,20,2023,Minnesota Timberwolves
3236,65,2023-03-03,10:30p,Away,Los Angeles Lakers,110,102,33,32,W 2,W,42,89,14,34,0.412,12,16,0.75,10,46,29,10,6,13,21,2023,Minnesota Timberwolves
3237,66,2023-03-04,10:00p,Away,Sacramento Kings,138,134,34,32,W 3,W,48,80,20,39,0.513,22,31,0.71,6,40,31,4,6,11,21,2023,Minnesota Timberwolves
3238,67,2023-03-07,7:30p,Home,Philadelphia 76ers,94,117,34,33,L 1,L,34,86,11,36,0.306,15,21,0.714,6,34,19,9,7,11,16,2023,Minnesota Timberwolves
3239,68,2023-03-10,8:00p,Home,Brooklyn Nets,123,124,34,34,L 2,L,48,98,9,30,0.3,18,29,0.621,12,47,29,10,6,14,21,2023,Minnesota Timberwolves
3240,69,2023-03-13,7:30p,Away,Atlanta Hawks,136,115,35,34,W 1,W,54,92,12,28,0.429,16,23,0.696,5,37,39,12,10,10,22,2023,Minnesota Timberwolves
3241,70,2023-03-15,8:00p,Home,Boston Celtics,102,104,35,35,L 1,L,37,84,12,36,0.333,16,22,0.727,8,46,27,3,2,13,23,2023,Minnesota Timberwolves
3242,71,2023-03-17,8:00p,Away,Chicago Bulls,131,139,35,36,L 2,L,46,100,18,42,0.429,21,31,0.677,14,50,33,6,8,15,24,2023,Minnesota Timberwolves
3243,72,2023-03-18,7:00p,Away,Toronto Raptors,107,122,35,37,L 3,L,39,85,5,23,0.217,24,28,0.857,9,42,27,5,2,14,23,2023,Minnesota Timberwolves
3244,73,2023-03-20,7:30p,Away,New York Knicks,140,134,36,37,W 1,W,51,83,14,24,0.583,24,32,0.75,7,34,34,9,4,15,24,2023,Minnesota Timberwolves
3245,74,2023-03-22,8:00p,Home,Atlanta Hawks,125,124,37,37,W 2,W,45,92,11,26,0.423,24,29,0.828,11,42,27,7,3,11,20,2023,Minnesota Timberwolves
3246,75,2023-03-26,8:30p,Away,Golden State Warriors,99,96,38,37,W 3,W,34,80,17,40,0.425,14,25,0.56,9,49,25,10,2,17,20,2023,Minnesota Timberwolves
3247,76,2023-03-27,10:00p,Away,Sacramento Kings,119,115,39,37,W 4,W,44,86,9,24,0.375,22,34,0.647,11,40,33,6,3,6,27,2023,Minnesota Timberwolves
3248,77,2023-03-29,10:00p,Away,Phoenix Suns,100,107,39,38,L 1,L,40,90,12,35,0.343,8,12,0.667,16,54,24,4,4,21,24,2023,Minnesota Timberwolves
3249,78,2023-03-31,8:00p,Home,Los Angeles Lakers,111,123,39,39,L 2,L,41,95,13,39,0.333,16,19,0.842,12,39,25,10,4,16,22,2023,Minnesota Timberwolves
3250,79,2023-04-02,3:30p,Home,Portland Trail Blazers,105,107,39,40,L 3,L,38,79,11,26,0.423,18,23,0.783,7,47,29,3,5,18,17,2023,Minnesota Timberwolves
3251,80,2023-04-04,7:30p,Away,Brooklyn Nets,107,102,40,40,W 1,W,41,85,8,24,0.333,17,22,0.773,7,44,21,7,6,8,13,2023,Minnesota Timberwolves
3252,81,2023-04-08,4:00p,Away,San Antonio Spurs,151,131,41,40,W 2,W,56,101,24,43,0.558,15,21,0.714,11,45,42,8,8,7,18,2023,Minnesota Timberwolves
3253,82,2023-04-09,3:30p,Home,New Orleans Pelicans,113,108,42,40,W 3,W,39,82,13,36,0.361,22,31,0.71,8,42,25,7,8,17,22,2023,Minnesota Timberwolves
3254,1,2022-10-19,7:30p,Away,Brooklyn Nets,130,108,1,0,W 1,W,50,102,12,26,0.462,18,25,0.72,21,61,31,9,4,12,21,2023,New Orleans Pelicans
3255,2,2022-10-21,7:00p,Away,Charlotte Hornets,124,112,2,0,W 2,W,42,89,8,22,0.364,32,37,0.865,15,53,23,9,7,15,14,2023,New Orleans Pelicans
3256,3,2022-10-23,7:00p,Home,Utah Jazz,121,122,2,1,L 1,L,48,102,8,27,0.296,17,22,0.773,14,45,30,8,6,17,22,2023,New Orleans Pelicans
3257,4,2022-10-25,7:30p,Home,Dallas Mavericks,113,111,3,1,W 1,W,44,76,12,27,0.444,13,18,0.722,4,26,25,7,3,14,21,2023,New Orleans Pelicans
3258,5,2022-10-28,10:00p,Away,Phoenix Suns,111,124,3,2,L 1,L,38,86,15,37,0.405,20,22,0.909,9,33,25,10,1,13,21,2023,New Orleans Pelicans
3259,6,2022-10-30,3:00p,Away,Los Angeles Clippers,112,91,4,2,W 1,W,46,93,15,36,0.417,5,8,0.625,12,50,32,9,1,10,15,2023,New Orleans Pelicans
3260,7,2022-11-02,10:30p,Away,Los Angeles Lakers,117,120,4,3,L 1,L,47,102,8,25,0.32,15,21,0.714,11,51,35,10,5,13,20,2023,New Orleans Pelicans
3261,8,2022-11-04,8:30p,Home,Golden State Warriors,114,105,5,3,W 1,W,41,81,12,29,0.414,20,29,0.69,9,37,24,10,2,15,21,2023,New Orleans Pelicans
3262,9,2022-11-05,7:30p,Away,Atlanta Hawks,121,124,5,4,L 1,L,47,108,7,23,0.304,20,28,0.714,19,59,23,8,6,16,24,2023,New Orleans Pelicans
3263,10,2022-11-07,7:45p,Away,Indiana Pacers,122,129,5,5,L 2,L,48,97,14,34,0.412,12,17,0.706,13,43,32,7,4,10,20,2023,New Orleans Pelicans
3264,11,2022-11-09,8:00p,Away,Chicago Bulls,115,111,6,5,W 1,W,42,84,3,19,0.158,28,36,0.778,13,50,20,8,5,16,18,2023,New Orleans Pelicans
3265,12,2022-11-10,8:00p,Home,Portland Trail Blazers,95,106,6,6,L 1,L,33,79,10,28,0.357,19,24,0.792,9,45,19,3,5,17,21,2023,New Orleans Pelicans
3266,13,2022-11-12,8:30p,Home,Houston Rockets,119,106,7,6,W 1,W,42,86,8,29,0.276,27,31,0.871,12,36,28,13,1,12,23,2023,New Orleans Pelicans
3267,14,2022-11-15,7:30p,Home,Memphis Grizzlies,113,102,8,6,W 2,W,43,91,18,38,0.474,9,12,0.75,7,43,31,2,8,10,20,2023,New Orleans Pelicans
3268,15,2022-11-16,8:00p,Home,Chicago Bulls,124,110,9,6,W 3,W,43,85,17,33,0.515,21,24,0.875,12,46,30,4,6,13,18,2023,New Orleans Pelicans
3269,16,2022-11-18,8:30p,Home,Boston Celtics,109,117,9,7,L 1,L,43,87,13,35,0.371,10,13,0.769,7,37,24,13,3,11,18,2023,New Orleans Pelicans
3270,17,2022-11-21,8:00p,Home,Golden State Warriors,128,83,10,7,W 1,W,49,91,15,42,0.357,15,21,0.714,11,50,30,15,5,14,16,2023,New Orleans Pelicans
3271,18,2022-11-23,8:00p,Away,San Antonio Spurs,129,110,11,7,W 2,W,47,82,14,33,0.424,21,30,0.7,8,42,33,8,5,21,22,2023,New Orleans Pelicans
3272,19,2022-11-25,8:00p,Away,Memphis Grizzlies,111,132,11,8,L 1,L,37,86,10,31,0.323,27,31,0.871,11,41,26,9,4,13,22,2023,New Orleans Pelicans
3273,20,2022-11-28,8:00p,Home,Oklahoma City Thunder,105,101,12,8,W 1,W,39,87,9,32,0.281,18,20,0.9,14,49,21,12,8,22,18,2023,New Orleans Pelicans
3274,21,2022-11-30,8:00p,Home,Toronto Raptors,126,108,13,8,W 2,W,45,86,14,33,0.424,22,26,0.846,12,52,28,10,4,20,16,2023,New Orleans Pelicans
3275,22,2022-12-02,8:00p,Away,San Antonio Spurs,117,99,14,8,W 3,W,40,92,12,42,0.286,25,26,0.962,10,53,25,9,5,9,18,2023,New Orleans Pelicans
3276,23,2022-12-04,3:30p,Home,Denver Nuggets,121,106,15,8,W 4,W,41,81,11,26,0.423,28,36,0.778,6,36,29,10,5,10,22,2023,New Orleans Pelicans
3277,24,2022-12-07,8:00p,Home,Detroit Pistons,104,98,16,8,W 5,W,39,85,8,27,0.296,18,23,0.783,10,50,21,8,9,18,21,2023,New Orleans Pelicans
3278,25,2022-12-09,8:30p,Home,Phoenix Suns,128,117,17,8,W 6,W,46,90,8,27,0.296,28,35,0.8,13,44,27,10,1,11,15,2023,New Orleans Pelicans
3279,26,2022-12-11,3:30p,Home,Phoenix Suns,129,124,18,8,W 7,W,50,86,8,25,0.32,21,28,0.75,7,43,31,10,3,15,26,2023,New Orleans Pelicans
3280,27,2022-12-13,9:00p,Away,Utah Jazz,100,121,18,9,L 1,L,37,93,4,27,0.148,22,33,0.667,15,43,25,12,3,17,17,2023,New Orleans Pelicans
3281,28,2022-12-15,9:00p,Away,Utah Jazz,129,132,18,10,L 2,L,47,99,12,30,0.4,23,28,0.821,19,49,24,8,6,16,30,2023,New Orleans Pelicans
3282,29,2022-12-17,9:00p,Away,Phoenix Suns,114,118,18,11,L 3,L,45,77,14,30,0.467,10,13,0.769,4,36,27,2,5,16,27,2023,New Orleans Pelicans
3283,30,2022-12-19,8:00p,Home,Milwaukee Bucks,119,128,18,12,L 4,L,42,99,18,45,0.4,17,24,0.708,17,44,30,9,0,15,20,2023,New Orleans Pelicans
